7.409090909090909,66,FWD
6.428571428571429,70,MID
5.863013698630137,73,MID
5.62,50,MID
5.552238805970149,67,MID
5.527777777777778,72,MID
5.479166666666667,48,MID
5.445945945945946,74,FWD
5.230769230769231,52,FWD
5.140845070422535,71,MID
4.78,50,FWD
4.75,72,MID
4.7,10,GK
4.681818181818182,66,DEF
4.65,40,MID
4.602941176470588,68,MID
4.545454545454546,11,DEF
4.541666666666667,72,MID
4.538461538461538,65,MID
4.506666666666667,75,DEF
4.450704225352113,71,MID
4.431372549019608,51,FWD
4.4186046511627906,43,FWD
4.396825396825397,63,FWD
4.392857142857143,28,DEF
4.344827586206897,58,MID
4.323076923076923,65,DEF
4.3,70,GK
4.276923076923077,65,DEF
4.273972602739726,73,MID
4.258064516129032,31,MID
4.171428571428572,70,MID
4.151515151515151,33,MID
4.138461538461539,65,GK
4.115384615384615,52,GK
4.068965517241379,29,GK
4.057142857142857,35,FWD
3.9864864864864864,74,DEF
3.9622641509433962,53,FWD
3.9166666666666665,72,MID
3.9,50,DEF
3.8955223880597014,67,FWD
3.8783783783783785,74,MID
3.84,75,MID
3.7966101694915255,59,MID
3.7777777777777777,54,MID
3.7681159420289854,69,MID
3.759259259259259,54,DEF
3.7586206896551726,29,MID
3.75,12,GK
3.7466666666666666,75,MID
3.746268656716418,67,MID
3.7435897435897436,39,DEF
3.736842105263158,38,MID
3.7333333333333334,30,FWD
3.730769230769231,26,FWD
3.7241379310344827,29,MID
3.7162162162162162,74,GK
3.7045454545454546,44,GK
3.6933333333333334,75,GK
3.6865671641791047,67,MID
3.672727272727273,55,MID
3.661764705882353,68,MID
3.6470588235294117,68,MID
3.638888888888889,72,DEF
3.6206896551724137,58,MID
3.6153846153846154,39,GK
3.611111111111111,36,DEF
3.611111111111111,36,GK
3.604651162790698,43,DEF
3.591549295774648,71,GK
3.588235294117647,68,DEF
3.586206896551724,29,GK
3.5714285714285716,70,GK
3.5714285714285716,70,MID
3.5692307692307694,65,FWD
3.5625,48,MID
3.5531914893617023,47,FWD
3.5510204081632653,49,FWD
3.5428571428571427,35,DEF
3.5384615384615383,13,FWD
3.5211267605633805,71,MID
3.5074626865671643,67,MID
3.5,26,GK
3.5,56,FWD
3.5,16,DEF
3.5,38,GK
3.476923076923077,65,MID
3.4727272727272727,55,DEF
3.4657534246575343,73,FWD
3.456140350877193,57,DEF
3.452830188679245,53,MID
3.4444444444444446,27,DEF
3.440677966101695,59,GK
3.435483870967742,62,DEF
3.4339622641509435,53,DEF
3.4285714285714284,7,GK
3.426470588235294,68,GK
3.425925925925926,54,DEF
3.4242424242424243,66,MID
3.4166666666666665,36,GK
3.3962264150943398,53,DEF
3.3793103448275863,29,MID
3.3684210526315788,57,MID
3.361111111111111,72,MID
3.3559322033898304,59,MID
3.3548387096774195,31,FWD
3.34375,32,GK
3.3333333333333335,69,MID
3.3076923076923075,13,MID
3.3035714285714284,56,MID
3.288135593220339,59,DEF
3.2857142857142856,56,FWD
3.272727272727273,11,GK
3.257142857142857,70,MID
3.2542372881355934,59,DEF
3.238095238095238,21,GK
3.236842105263158,38,MID
3.21875,64,FWD
3.2162162162162162,37,GK
3.215686274509804,51,MID
3.2142857142857144,14,DEF
3.2083333333333335,24,DEF
3.2045454545454546,44,MID
3.2033898305084745,59,DEF
3.2,55,MID
3.183098591549296,71,DEF
3.1818181818181817,11,MID
3.1666666666666665,18,GK
3.15625,32,MID
3.135135135135135,37,MID
3.129032258064516,31,MID
3.125,16,MID
3.125,32,MID
3.12,25,MID
3.090909090909091,55,MID
3.084507042253521,71,DEF
3.0789473684210527,38,MID
3.076923076923077,52,MID
3.064516129032258,31,DEF
3.051282051282051,39,DEF
3.028985507246377,69,MID
3.02,50,MID
3.0,9,GK
3.0,27,DEF
3.0,56,DEF
3.0,33,MID
2.985294117647059,68,MID
2.9761904761904763,42,DEF
2.96,25,DEF
2.9473684210526314,38,GK
2.9473684210526314,38,DEF
2.9444444444444446,18,FWD
2.9375,16,GK
2.9342105263157894,76,DEF
2.9310344827586206,29,DEF
2.9302325581395348,43,MID
2.9178082191780823,73,MID
2.914285714285714,35,MID
2.9130434782608696,46,FWD
2.9130434782608696,69,DEF
2.909090909090909,33,DEF
2.904109589041096,73,DEF
2.8833333333333333,60,DEF
2.8823529411764706,17,DEF
2.88,50,DEF
2.877551020408163,49,FWD
2.875,32,MID
2.8714285714285714,70,DEF
2.8615384615384616,65,MID
2.857142857142857,14,GK
2.840909090909091,44,FWD
2.838709677419355,62,DEF
2.8372093023255816,43,DEF
2.8333333333333335,60,FWD
2.8275862068965516,58,DEF
2.8275862068965516,29,MID
2.8214285714285716,28,DEF
2.8181818181818183,22,DEF
2.807017543859649,57,MID
2.8,30,FWD
2.7804878048780486,41,DEF
2.775,40,DEF
2.7708333333333335,48,DEF
2.763157894736842,38,MID
2.7580645161290325,62,DEF
2.7534246575342465,73,DEF
2.75,16,FWD
2.7457627118644066,59,FWD
2.740740740740741,27,DEF
2.736111111111111,72,DEF
2.7358490566037736,53,MID
2.7358490566037736,53,MID
2.730769230769231,52,MID
2.716666666666667,60,DEF
2.7142857142857144,21,DEF
2.7083333333333335,72,MID
2.7058823529411766,51,DEF
2.7,30,DEF
2.6904761904761907,42,MID
2.6666666666666665,3,MID
2.6451612903225805,31,MID
2.642857142857143,28,MID
2.63768115942029,69,MID
2.6363636363636362,11,FWD
2.625,40,DEF
2.625,32,GK
2.6216216216216215,37,DEF
2.611111111111111,36,DEF
2.6,45,DEF
2.596774193548387,62,DEF
2.58974358974359,39,FWD
2.5873015873015874,63,MID
2.5869565217391304,46,MID
2.5869565217391304,46,MID
2.586206896551724,29,DEF
2.576923076923077,26,MID
2.5555555555555554,45,DEF
2.5555555555555554,9,MID
2.546666666666667,75,DEF
2.5384615384615383,65,MID
2.53125,64,MID
2.526315789473684,38,DEF
2.5161290322580645,31,DEF
2.5121951219512195,41,MID
2.5,16,FWD
2.5,18,MID
2.5,18,MID
2.4838709677419355,31,MID
2.4827586206896552,58,DEF
2.476923076923077,65,FWD
2.4705882352941178,17,GK
2.4603174603174605,63,MID
2.4444444444444446,36,FWD
2.4444444444444446,54,DEF
2.4383561643835616,73,MID
2.422222222222222,45,DEF
2.418181818181818,55,FWD
2.4166666666666665,12,GK
2.4166666666666665,24,MID
2.41025641025641,39,DEF
2.4074074074074074,54,MID
