id,name,position,value
139,Bart Verbruggen,GK,45
140,Tom McGill,GK,40
141,Carl Rushworth,GK,40
142,Kjell Scherpen,GK,40
143,Olivier Boscagli,DEF,45
144,Diego Coppola,DEF,45
145,Maxim De Cuyper,DEF,45
146,Lewis Dunk,DEF,45
147,Pervis Estupiñán Tenorio,DEF,45
148,Ferdi Kadıoğlu,DEF,45
149,Igor Julio dos Santos de Paulo,DEF,45
150,Tariq Lamptey,DEF,45
151,Jan Paul van Hecke,DEF,45
152,Joël Veltman,DEF,45
153,Adam Webster,DEF,45
154,Eiran Cashin,DEF,40
155,Jacob Slater,DEF,40
156,Charlie Tasker,DEF,40
157,Mitoma Kaoru,MID,65
158,Georginio Rutter,MID,60
159,Solly March,MID,60
160,Yankuba Minteh,MID,60
161,Julio Enciso Espínola,MID,55
162,Brajan Gruda,MID,55
163,Jack Hinshelwood,MID,55
164,Matt O'Riley,MID,55
165,Abdallah Sima,MID,55
166,Yasin Ayari,MID,50
167,Carlos Baleba,MID,50
168,Facundo Buonanotte,MID,50
169,Diego Gómez Amarilla,MID,50
170,James Milner,MID,50
171,Jeremy Sarmiento Morante,MID,50
172,Tom Watson,MID,50
173,Mats Wieffer,MID,50
174,Malick Yalcouyé,MID,50
175,Joe Knight,MID,45
176,Adrian Mazilu,MID,45
177,Andrew Moran,MID,45
178,Danny Welbeck,FWD,65
179,Evan Ferguson,FWD,55
180,Stefanos Tzimas,FWD,55
181,Charalampos Kostoulas,FWD,50
220,Robert Lynch Sánchez,GK,50
221,Filip Jörgensen,GK,45
222,Mike Penders,GK,40
223,Gabriel Słonina,GK,40
224,Marc Cucurella Saseta,DEF,60
225,Reece James,DEF,55
226,Trevoh Chalobah,DEF,50
227,Levi Samuels Colwill,DEF,50
228,Malo Gusto,DEF,50
229,Benoît Badiashile Mukinayi,DEF,45
230,Wesley Fofana,DEF,45
231,Mamadou Sarr,DEF,45
232,Tosin Adarabioyo,DEF,45
233,Josh Acheampong,DEF,40
234,Aarón Anselmino,DEF,40
235,Cole Palmer,MID,105
236,Pedro Lomba Neto,MID,70
237,Enzo Fernández,MID,65
238,Estêvão Almeida de Oliveira Gonçalves,MID,65
239,Jamie Bynoe-Gittens,MID,65
240,Christopher Nkunku,MID,60
241,Moisés Caicedo Corozo,MID,55
243,Tyrique George,MID,50
244,Roméo Lavia,MID,50
245,Mykhailo Mudryk,MID,50
246,Andrey Nascimento dos Santos,MID,45
247,Dário Luís Essugo,MID,45
248,Kendry Páez Andrade,MID,45
249,João Pedro Junqueira de Jesus,FWD,75
250,Liam Delap,FWD,65
251,Nicolas Jackson,FWD,65
672,Jorrel Hato,DEF,50
253,Dean Henderson,GK,50
254,Walter Benítez,GK,40
255,Remi Matthews,GK,40
256,Daniel Muñoz Mejía,DEF,55
257,Maxence Lacroix,DEF,50
258,Tyrick Mitchell,DEF,50
259,Borna Sosa,DEF,50
260,Marc Guéhi,DEF,45
261,Chris Richards,DEF,45
262,Chadi Riad Dnanou,DEF,40
263,Nathaniel Clyne,DEF,40
264,Rob Holding,DEF,40
265,Caleb Kporha,DEF,40
266,Eberechi Eze,MID,75
267,Ismaïla Sarr,MID,65
268,Cheick Doucouré,MID,50
269,Romain Esse,MID,50
270,Will Hughes,MID,50
271,Daichi Kamada,MID,50
272,Jefferson Lerma Solís,MID,50
273,Adam Wharton,MID,50
274,Asher Agbinone,MID,45
275,Naouirou Ahamada,MID,45
276,Justin Devenny,MID,45
277,Malcolm Ebiowei,MID,45
278,Jesurun Rak-Sakyi,MID,45
279,Matheus França de Oliveira,MID,45
280,David Ozoh,MID,45
281,Kaden Rodney,MID,45
282,Franco Umeh-Chibueze,MID,45
283,Jean-Philippe Mateta,FWD,75
284,Eddie Nketiah,FWD,55
285,Odsonne Édouard,FWD,50
286,Zach Marsh,FWD,45
690,Rio Cardines,MID,45
242,Kiernan Dewsbury-Hall,MID,50
287,Jordan Pickford,GK,55
288,Mark Travers,GK,45
289,Harry Tyrer,GK,40
290,Jarrad Branthwaite,DEF,55
291,James Tarkowski,DEF,55
292,Vitalii Mykolenko,DEF,50
293,Jake O'Brien,DEF,50
294,Séamus Coleman,DEF,45
