name,season,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Aaron Cresswell,2024-25,9,DEF,40,0.0,-50.0,-40.0,1,0.7555962279975944,19.70021861838748,0.9998663510822934,0
Aaron Cresswell,2024-25,15,DEF,40,0.0,-80.0,-30.0,1,0.5370641519983963,13.466812412258323,0.6665775673881956,1
Aaron Cresswell,2024-25,18,DEF,39,1.0,100.0,110.0,0,0.8913761013322643,9.644541608172215,0.7777183782587971,1
Aaron Cresswell,2024-25,21,DEF,39,0.0,-70.0,-60.0,1,1.327584067554843,13.763027738781478,0.8518122521725315,1
Aaron Hickey,2022-23,1,DEF,50,0.0,-40.0,135.0,0,0.0,0.0,0.0,1
Aaron Hickey,2022-23,2,DEF,50,0.0,-120.0,-90.0,1,0.4,83.0,1.0,6
Aaron Hickey,2022-23,3,DEF,50,0.0,40.0,130.0,0,1.3333333333333335,81.66666666666667,2.666666666666667,0
Aaron Hickey,2022-23,4,DEF,50,0.0,10.0,30.0,1,0.9555555555555557,74.11111111111111,1.7777777777777781,1
Aaron Hickey,2022-23,5,DEF,50,0.0,100.0,90.0,0,2.1370370370370373,79.40740740740742,1.5185185185185188,1
Aaron Hickey,2022-23,6,DEF,50,0.0,-20.0,55.0,1,2.2246913580246916,78.93827160493828,1.3456790123456792,0
Aaron Hickey,2022-23,8,DEF,50,-1.0,-220.0,-120.0,1,2.216460905349795,82.62551440329219,0.8971193415637863,1
Aaron Hickey,2022-23,9,DEF,50,1.0,110.0,180.0,0,2.1443072702331967,85.08367626886147,0.9314128943758575,0
Aaron Hickey,2022-23,10,DEF,50,-1.0,-5.0,-50.0,0,1.5295381801554646,66.38911751257432,0.620941929583905,3
Aaron Hickey,2022-23,22,DEF,49,1.0,20.0,60.0,1,1.7530254534369767,71.59274500838288,1.41396128638927,6
Aaron Hickey,2022-23,24,DEF,49,0.0,10.0,20.0,1,1.535350302291318,67.72849667225526,2.942640857592847,2
Aaron Hickey,2022-23,26,DEF,49,0.0,-40.0,65.0,1,1.9569002015275454,70.15233111483684,2.6284272383952314,5
Aaron Hickey,2022-23,27,DEF,49,0.0,120.0,130.0,0,1.804600134351697,76.76822074322456,3.4189514922634876,2
Aaron Hickey,2022-23,27,DEF,49,1.0,100.0,130.0,0,2.4030667562344648,75.51214716214972,2.945967661508992,5
Aaron Hickey,2022-23,28,DEF,49,0.0,-20.0,20.0,1,1.90204450415631,80.34143144143314,3.6306451076726614,4
Aaron Hickey,2022-23,29,DEF,49,0.0,-40.0,60.0,0,2.4013630027708732,83.56095429428876,3.753763405115108,0
Aaron Hickey,2022-23,29,DEF,49,0.0,-5.0,60.0,0,1.6009086685139156,85.70730286285918,2.5025089367434057,1
Aaron Hickey,2022-23,30,DEF,49,-1.0,-120.0,-170.0,1,1.1006057790092774,62.138201908572796,2.0016726244956042,1
Aaron Hickey,2022-23,31,DEF,49,0.0,100.0,100.0,0,0.833737186006185,65.75880127238187,1.6677817496637362,1
Aaron Hickey,2022-23,32,DEF,49,0.0,-30.0,55.0,1,0.8224914573374567,68.17253418158792,1.4451878331091574,2
Aaron Hickey,2022-23,33,DEF,49,0.0,20.0,10.0,0,1.048327638224971,75.44835612105862,1.6301252220727718,1
Aaron Hickey,2022-23,34,DEF,49,0.0,-5.0,30.0,1,0.6988850921499808,50.63223741403909,1.420083481381848,2
Aaron Hickey,2022-23,35,DEF,49,-1.0,-100.0,20.0,0,1.2325900614333205,63.75482494269273,1.6133889875878986,2
Aaron Hickey,2022-23,36,DEF,49,0.0,-10.0,-20.0,1,1.355060040955547,71.50321662846181,1.7422593250585994,5
Aaron Hickey,2022-23,37,DEF,49,0.0,-10.0,60.0,0,2.136706693970365,75.66881108564121,2.8281728833723996,5
Aaron Hickey,2022-23,38,DEF,49,-2.0,-280.0,-210.0,1,2.4911377959802437,79.77920739042747,3.5521152555816,6
Aaron Hickey,2023-24,1,DEF,45,-1.0,-200.0,-60.0,1,1.660758530653496,76.18613826028499,4.3680768370544,0
Aaron Hickey,2023-24,2,DEF,45,0.0,-5.0,100.0,0,1.9738390204356642,74.45742550685667,2.912051224702934,5
Aaron Hickey,2023-24,3,DEF,45,0.0,25.0,-30.0,1,1.3825593469571096,75.30495033790444,3.608034149801956,2
Aaron Hickey,2023-24,4,DEF,45,0.0,35.0,-40.0,1,1.5217062313047398,80.20330022526963,3.0720227665346376,1
Aaron Hickey,2023-24,5,DEF,45,0.0,-105.0,100.0,0,1.6144708208698266,80.46886681684643,2.3813485110230923,1
Aaron Hickey,2023-24,6,DEF,45,0.0,30.0,-35.0,1,2.1429805472465513,80.64591121123095,1.9208990073487282,1
Aaron Hickey,2023-24,7,DEF,45,0.0,-25.0,100.0,0,1.6286536981643676,77.7639408074873,1.6139326715658189,1
Aaron Hickey,2023-24,8,DEF,45,0.0,-65.0,20.0,0,1.319102465442912,74.5092938716582,1.409288447710546,0
Aaron Hickey,2023-24,10,DEF,45,0.0,-115.0,70.0,0,0.8794016436286081,79.67286258110548,0.9395256318070309,6
Aaron Ramsdale,2022-23,1,GK,50,1.0,190.0,210.0,0,0.0,0.0,0.0,6
Aaron Ramsdale,2022-23,2,GK,50,1.0,130.0,130.0,1,1.9,90.0,6.0,1
Aaron Ramsdale,2022-23,3,GK,50,2.0,200.0,300.0,0,1.6666666666666667,90.0,4.333333333333333,6
Aaron Ramsdale,2022-23,4,GK,50,1.0,110.0,175.0,1,1.377777777777778,90.0,4.888888888888889,2
Aaron Ramsdale,2022-23,5,GK,50,1.0,120.0,165.0,1,1.551851851851852,90.0,3.9259259259259265,2
Aaron Ramsdale,2022-23,6,GK,50,1.0,85.0,180.0,0,1.6012345679012348,90.0,3.283950617283951,2
Aaron Ramsdale,2022-23,8,GK,49,1.0,120.0,220.0,0,1.90082304526749,90.0,2.855967078189301,6
Aaron Ramsdale,2022-23,9,GK,49,1.0,20.0,30.0,1,1.8672153635116602,90.0,3.9039780521262006,2
Aaron Ramsdale,2022-23,10,GK,49,0.0,-50.0,-10.0,1,1.8781435756744402,90.0,3.2693187014174674,1
Aaron Ramsdale,2022-23,11,GK,49,1.0,120.0,250.0,0,1.685429050449627,90.0,2.512879134278312,10
Aaron Ramsdale,2022-23,13,GK,49,2.0,190.0,250.0,0,2.290286033633085,90.0,5.008586089518874,2
Aaron Ramsdale,2022-23,14,GK,49,1.0,145.0,140.0,1,2.02685735575539,90.0,4.00572405967925,6
Aaron Ramsdale,2022-23,15,GK,49,1.0,110.0,130.0,0,1.7512382371702602,90.0,4.670482706452834,6
Aaron Ramsdale,2022-23,16,GK,49,1.0,190.0,220.0,0,1.6008254914468403,90.0,5.113655137635223,6
Aaron Ramsdale,2022-23,17,GK,49,1.0,140.0,90.0,1,1.5338836609645603,90.0,5.409103425090149,3
Aaron Ramsdale,2022-23,18,GK,49,1.0,50.0,180.0,0,1.6892557739763738,90.0,4.6060689500600995,2
Aaron Ramsdale,2022-23,19,GK,49,0.0,30.0,-60.0,1,1.892837182650916,90.0,3.7373793000400664,6
Aaron Ramsdale,2022-23,20,GK,49,1.0,80.0,180.0,0,1.4952247884339442,90.0,4.4915862000267115,11
Aaron Ramsdale,2022-23,21,GK,49,1.0,30.0,20.0,1,2.7968165256226296,90.0,6.661057466684475,1
Aaron Ramsdale,2022-23,22,GK,49,1.0,210.0,250.0,0,2.19787768374842,90.0,4.774038311122983,3
Aaron Ramsdale,2022-23,23,GK,49,1.0,50.0,80.0,1,2.0319184558322805,90.0,4.1826922074153225,2
Aaron Ramsdale,2022-23,23,GK,49,-1.0,-130.0,-100.0,1,1.5879456372215206,90.0,3.4551281382768817,1
Aaron Ramsdale,2022-23,24,GK,49,1.0,180.0,250.0,0,1.7252970914810137,90.0,2.6367520921845884,2
