name,GW,position,value,strength_difference,attack_strength_difference,defence_strength_difference,was_home,ict_index_ewma,minutes_ewma,total_points_ewma,total_points
Callan McKenna,2,GK,40,0.0,-50.0,100.0,1,0.0,0.0,0.0,0
Callan McKenna,3,GK,40,0.0,0.0,100.0,0,0.0,0.0,0.0,0
Callum Bates,1,MID,45,1.0,90.0,40.0,0,0.0,0.0,0.0,0
Callum Bates,2,MID,45,0.0,-70.0,-80.0,1,0.0,0.0,0.0,0
Callum Bates,3,MID,45,0.0,20.0,10.0,0,0.0,0.0,0.0,0
Callum Hudson-Odoi,1,MID,60,0.0,-140.0,100.0,1,0.0,0.0,0.0,2
Callum Hudson-Odoi,2,MID,60,0.0,70.0,60.0,0,5.3,90.0,2.0,10
Callum Hudson-Odoi,3,MID,60,0.0,50.0,80.0,1,5.633333333333333,83.66666666666667,4.666666666666666,2
Callum Marshall,1,FWD,45,1.0,50.0,50.0,0,0.0,0.0,0.0,0
Callum Marshall,2,FWD,45,-1.0,-200.0,-90.0,1,0.0,0.0,0.0,0
Callum Marshall,3,FWD,45,0.0,-80.0,-50.0,0,0.0,0.0,0.0,0
Callum Olusesi,1,MID,45,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Callum Olusesi,2,MID,45,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Callum Olusesi,3,MID,45,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Callum Wilson,1,FWD,60,1.0,50.0,50.0,0,0.0,0.0,0.0,1
Callum Wilson,2,FWD,60,-1.0,-200.0,-90.0,1,0.5,19.0,1.0,1
Callum Wilson,3,FWD,59,0.0,-80.0,-50.0,0,1.0666666666666669,27.666666666666668,1.0,7
Calvin Bassey,1,DEF,45,0.0,-80.0,30.0,0,0.0,0.0,0.0,1
Calvin Bassey,2,DEF,45,0.0,-10.0,10.0,1,1.4,90.0,1.0,2
Calvin Bassey,3,DEF,45,-1.0,-90.0,-30.0,0,1.2666666666666666,90.0,1.3333333333333335,1
Calvin Ramsay,1,DEF,40,2.0,90.0,220.0,1,0.0,0.0,0.0,0
Calvin Ramsay,2,DEF,40,1.0,90.0,250.0,0,0.0,0.0,0.0,0
Calvin Ramsay,3,DEF,40,1.0,-10.0,30.0,1,0.0,0.0,0.0,0
Caoimhín Kelleher,1,GK,45,0.0,-100.0,140.0,0,0.0,0.0,0.0,1
Caoimhín Kelleher,2,GK,45,0.0,-220.0,-40.0,1,1.2,90.0,1.0,5
Caoimhín Kelleher,3,GK,45,1.0,30.0,240.0,0,1.1333333333333333,90.0,2.333333333333333,1
Carl Rushworth,1,GK,40,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Carl Rushworth,2,GK,40,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Carl Rushworth,3,GK,40,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,0
Carlos Alcaraz Durán,1,MID,55,1.0,90.0,40.0,0,0.0,0.0,0.0,1
Carlos Alcaraz Durán,2,MID,55,0.0,-70.0,-80.0,1,3.1,85.0,1.0,1
Carlos Alcaraz Durán,3,MID,54,0.0,20.0,10.0,0,2.3000000000000003,65.33333333333334,1.0,1
Carlos Baleba,1,MID,50,0.0,-30.0,80.0,1,0.0,0.0,0.0,3
Carlos Baleba,2,MID,50,0.0,80.0,70.0,0,1.7,68.0,3.0,1
Carlos Baleba,3,MID,50,-1.0,-290.0,-40.0,1,1.5000000000000002,60.333333333333336,2.3333333333333335,1
Carlos Henrique Casimiro,1,MID,55,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,2
Carlos Henrique Casimiro,2,MID,55,0.0,-10.0,10.0,0,2.1,64.0,2.0,0
Carlos Henrique Casimiro,3,MID,55,1.0,60.0,50.0,1,1.7333333333333334,60.0,1.3333333333333335,5
Carlos Miguel dos Santos Pereira,1,GK,40,0.0,-140.0,100.0,1,0.0,0.0,0.0,0
Carlos Miguel dos Santos Pereira,2,GK,40,0.0,70.0,60.0,0,0.0,0.0,0.0,0
Carlos Miguel dos Santos Pereira,3,GK,40,0.0,50.0,80.0,1,0.0,0.0,0.0,0
Chadi Riad Dnanou,1,DEF,40,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
Chadi Riad Dnanou,2,DEF,40,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
Chadi Riad Dnanou,3,DEF,40,0.0,-10.0,80.0,0,0.0,0.0,0.0,0
Charalampos Kostoulas,1,FWD,50,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Charalampos Kostoulas,2,FWD,50,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Charalampos Kostoulas,3,FWD,49,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,0
Charlie Crew,1,MID,45,-1.0,-40.0,-90.0,1,0.0,0.0,0.0,0
Charlie Crew,2,MID,45,-2.0,-240.0,-250.0,0,0.0,0.0,0.0,0
Charlie Crew,3,MID,45,-2.0,-270.0,-120.0,1,0.0,0.0,0.0,0
Charlie Tasker,1,DEF,40,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Charlie Tasker,2,DEF,40,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Charlie Tasker,3,DEF,40,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,0
Cheick Doucouré,1,MID,50,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
Cheick Doucouré,2,MID,50,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
Cheick Doucouré,3,MID,50,0.0,-10.0,80.0,0,0.0,0.0,0.0,0
Chemsdine Talbi,1,MID,50,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,6
Chemsdine Talbi,2,MID,50,0.0,0.0,0.0,0,4.1,90.0,6.0,2
Chemsdine Talbi,3,MID,50,-1.0,-240.0,-30.0,1,3.466666666666667,80.66666666666667,4.666666666666667,3
Chido Obi,1,FWD,45,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,0
Chido Obi,2,FWD,45,0.0,-10.0,10.0,0,0.0,0.0,0.0,0
Chido Obi,3,FWD,44,1.0,60.0,50.0,1,0.0,0.0,0.0,0
Chris Mepham,1,DEF,40,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Chris Mepham,2,DEF,40,0.0,-50.0,100.0,1,0.0,0.0,0.0,0
Chris Mepham,3,DEF,40,0.0,0.0,100.0,0,0.0,0.0,0.0,0
Chris Richards,1,DEF,45,-1.0,-90.0,40.0,0,0.0,0.0,0.0,6
Chris Richards,2,DEF,45,0.0,-60.0,-70.0,1,2.6,90.0,6.0,2
Chris Richards,3,DEF,45,0.0,-10.0,80.0,0,2.4333333333333336,90.0,4.666666666666667,8
Chris Rigg,1,MID,50,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,1
Chris Rigg,2,MID,50,0.0,0.0,0.0,0,0.0,1.0,1.0,0
Chris Rigg,3,MID,49,-1.0,-240.0,-30.0,1,0.0,0.6666666666666667,0.6666666666666667,0
Chris Wood,1,FWD,75,0.0,-140.0,100.0,1,0.0,0.0,0.0,13
Chris Wood,2,FWD,76,0.0,70.0,60.0,0,12.5,78.0,13.0,2
Chris Wood,3,FWD,77,0.0,50.0,80.0,1,9.0,81.0,9.333333333333334,2
Christian Nørgaard,1,MID,55,1.0,250.0,190.0,0,0.0,0.0,0.0,0
Christian Nørgaard,2,MID,55,2.0,250.0,240.0,1,0.0,0.0,0.0,0
Christian Nørgaard,3,MID,54,-1.0,-30.0,10.0,0,0.0,0.0,0.0,0
Christopher Nkunku,1,MID,60,1.0,-40.0,90.0,1,0.0,0.0,0.0,0
Christopher Nkunku,2,MID,60,1.0,90.0,200.0,0,0.0,0.0,0.0,0
Christopher Nkunku,3,MID,59,1.0,30.0,90.0,1,0.0,0.0,0.0,0
Claudio Echeverri,1,MID,55,1.0,130.0,300.0,0,0.0,0.0,0.0,0
Claudio Echeverri,2,MID,54,1.0,0.0,200.0,1,0.0,0.0,0.0,0
Claudio Echeverri,3,MID,54,1.0,40.0,290.0,0,0.0,0.0,0.0,0
Coby Ebere,1,MID,45,1.0,90.0,40.0,0,0.0,0.0,0.0,0
Coby Ebere,2,MID,45,0.0,-70.0,-80.0,1,0.0,0.0,0.0,0
Coby Ebere,3,MID,45,0.0,20.0,10.0,0,0.0,0.0,0.0,0
Cody Gakpo,1,MID,75,2.0,90.0,220.0,1,0.0,0.0,0.0,7
Cody Gakpo,2,MID,75,1.0,90.0,250.0,0,13.4,90.0,7.0,10
Cody Gakpo,3,MID,76,1.0,-10.0,30.0,1,11.26666666666667,90.0,8.0,3
Cole Palmer,1,MID,105,1.0,-40.0,90.0,1,0.0,0.0,0.0,3
Cole Palmer,2,MID,105,1.0,90.0,200.0,0,4.5,90.0,3.0,0
Cole Palmer,3,MID,104,1.0,30.0,90.0,1,3.0000000000000004,60.00000000000001,2.0,0
Connor Roberts,1,DEF,45,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Connor Roberts,2,DEF,45,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Connor Roberts,3,DEF,45,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Conor Bradley,1,DEF,50,2.0,90.0,220.0,1,0.0,0.0,0.0,0
Conor Bradley,2,DEF,50,1.0,90.0,250.0,0,0.0,0.0,0.0,0
Conor Bradley,3,DEF,50,1.0,-10.0,30.0,1,0.2333333333333333,3.333333333333333,0.0,0
Cristhian Mosquera,1,DEF,55,1.0,250.0,190.0,0,0.0,0.0,0.0,0
Cristhian Mosquera,2,DEF,55,2.0,250.0,240.0,1,0.0,0.0,0.0,1
Cristhian Mosquera,3,DEF,54,-1.0,-30.0,10.0,0,0.16666666666666666,8.666666666666666,0.3333333333333333,2
Cristian Romero,1,DEF,50,1.0,50.0,110.0,1,0.0,0.0,0.0,6
Cristian Romero,2,DEF,50,-1.0,-200.0,0.0,0,2.5,90.0,6.0,7
Cristian Romero,3,DEF,50,0.0,-100.0,0.0,1,2.4333333333333336,90.0,6.333333333333333,2
Crysencio Summerville,1,MID,55,1.0,50.0,50.0,0,0.0,0.0,0.0,0
Crysencio Summerville,2,MID,55,-1.0,-200.0,-90.0,1,0.0,0.0,0.0,0
Crysencio Summerville,3,MID,55,0.0,-80.0,-50.0,0,0.0,0.0,0.0,7
Curtis Jones,1,MID,55,2.0,90.0,220.0,1,0.0,0.0,0.0,1
Curtis Jones,2,MID,55,1.0,90.0,250.0,0,1.4,18.0,1.0,2
Curtis Jones,3,MID,54,1.0,-10.0,30.0,1,1.6,42.0,1.3333333333333335,4
Daichi Kamada,1,MID,50,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
Daichi Kamada,2,MID,50,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
Daichi Kamada,3,MID,50,0.0,-10.0,80.0,0,0.0,0.0,0.0,6
Dan Burn,1,DEF,50,1.0,30.0,210.0,0,0.0,0.0,0.0,9
Dan Burn,2,DEF,50,-1.0,-250.0,-90.0,1,2.2,90.0,9.0,2
Dan Burn,3,DEF,50,2.0,120.0,270.0,0,3.0333333333333337,90.0,6.666666666666668,6
Dan Ndoye,1,MID,60,0.0,-140.0,100.0,1,0.0,0.0,0.0,9
Dan Ndoye,2,MID,60,0.0,70.0,60.0,0,6.0,78.0,9.0,7
Dan Ndoye,3,MID,60,0.0,50.0,80.0,1,6.033333333333333,75.33333333333334,8.333333333333334,1
Dan Neil,1,MID,50,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Dan Neil,2,MID,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Dan Neil,3,MID,49,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Dane Scarlett,1,FWD,45,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Dane Scarlett,2,FWD,45,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Dane Scarlett,3,FWD,45,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Dango Ouattara,1,MID,60,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Dango Ouattara,2,MID,60,0.0,-220.0,-40.0,1,0.0,0.0,0.0,13
Dango Ouattara,3,MID,60,1.0,30.0,240.0,0,3.6666666666666665,27.666666666666664,4.333333333333333,2
Daniel Adu-Adjei,1,FWD,45,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Daniel Adu-Adjei,2,FWD,45,0.0,-50.0,100.0,1,0.0,0.0,0.0,0
Daniel Adu-Adjei,3,FWD,45,0.0,0.0,100.0,0,0.0,0.0,0.0,0
Daniel Ballard,1,DEF,45,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,17
Daniel Ballard,2,DEF,46,0.0,0.0,0.0,0,13.4,90.0,17.0,1
Daniel Ballard,3,DEF,46,-1.0,-240.0,-30.0,1,9.533333333333335,62.66666666666667,11.666666666666668,0
Daniel Bentley,1,GK,40,-1.0,-300.0,-130.0,1,0.0,0.0,0.0,0
Daniel Bentley,2,GK,40,0.0,-100.0,50.0,0,0.0,0.0,0.0,0
Daniel Bentley,3,GK,40,0.0,-10.0,-20.0,1,0.0,0.0,0.0,0
Daniel James,1,MID,55,-1.0,-40.0,-90.0,1,0.0,0.0,0.0,3
Daniel James,2,MID,55,-2.0,-240.0,-250.0,0,3.3,77.0,3.0,2
Daniel James,3,MID,54,-2.0,-270.0,-120.0,1,2.566666666666667,73.0,2.6666666666666665,1
Daniel Muñoz Mejía,1,DEF,55,-1.0,-90.0,40.0,0,0.0,0.0,0.0,5
Daniel Muñoz Mejía,2,DEF,55,0.0,-60.0,-70.0,1,1.6,90.0,5.0,5
Daniel Muñoz Mejía,3,DEF,55,0.0,-10.0,80.0,0,2.866666666666667,90.0,5.0,9
Danny Welbeck,1,FWD,65,0.0,-30.0,80.0,1,0.0,0.0,0.0,1
Danny Welbeck,2,FWD,65,0.0,80.0,70.0,0,0.5,21.0,1.0,0
Danny Welbeck,3,FWD,64,-1.0,-290.0,-40.0,1,1.2666666666666666,44.0,0.6666666666666667,2
Darko Churlinov,1,MID,50,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Darko Churlinov,2,MID,50,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Darko Churlinov,3,MID,50,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Darko Gyabi,1,MID,45,-1.0,-40.0,-90.0,1,0.0,0.0,0.0,0
Darko Gyabi,2,MID,45,-2.0,-240.0,-250.0,0,0.0,0.0,0.0,0
Darko Gyabi,3,MID,45,-2.0,-270.0,-120.0,1,0.0,0.0,0.0,0
Darwin Núñez Ribeiro,1,FWD,65,2.0,90.0,220.0,1,0.0,0.0,0.0,0
Darwin Núñez Ribeiro,2,FWD,65,1.0,90.0,250.0,0,0.0,0.0,0.0,0
Darwin Núñez Ribeiro,3,FWD,65,1.0,-10.0,30.0,1,0.0,0.0,0.0,0
David Brooks,1,MID,50,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,4
David Brooks,2,MID,50,0.0,-50.0,100.0,1,8.6,83.0,4.0,3
David Brooks,3,MID,50,0.0,0.0,100.0,0,7.3,77.33333333333334,3.666666666666667,4
David Mota Veiga Teixeira do Carmo,1,DEF,45,0.0,-140.0,100.0,1,0.0,0.0,0.0,0
David Mota Veiga Teixeira do Carmo,2,DEF,45,0.0,70.0,60.0,0,0.0,0.0,0.0,0
David Mota Veiga Teixeira do Carmo,3,DEF,45,0.0,50.0,80.0,1,0.0,0.0,0.0,0
David Møller Wolfe,1,DEF,45,-1.0,-300.0,-130.0,1,0.0,0.0,0.0,1
David Møller Wolfe,2,DEF,45,0.0,-100.0,50.0,0,1.0,71.0,1.0,1
David Møller Wolfe,3,DEF,45,0.0,-10.0,-20.0,1,0.8333333333333334,62.333333333333336,1.0,4
David Ozoh,1,MID,45,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
David Ozoh,2,MID,45,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
David Ozoh,3,MID,45,0.0,-10.0,80.0,0,0.0,0.0,0.0,0
David Raya Martín,1,GK,55,1.0,250.0,190.0,0,0.0,0.0,0.0,10
David Raya Martín,2,GK,55,2.0,250.0,240.0,1,4.9,90.0,10.0,6
David Raya Martín,3,GK,55,-1.0,-30.0,10.0,0,3.7,90.0,8.666666666666668,2
Dean Henderson,1,GK,50,-1.0,-90.0,40.0,0,0.0,0.0,0.0,6
Dean Henderson,2,GK,50,0.0,-60.0,-70.0,1,3.2,90.0,6.0,2
Dean Henderson,3,GK,50,0.0,-10.0,80.0,0,2.233333333333334,90.0,4.666666666666667,7
Declan Rice,1,MID,65,1.0,250.0,190.0,0,0.0,0.0,0.0,6
Declan Rice,2,MID,65,2.0,250.0,240.0,1,1.2,82.0,6.0,6
Declan Rice,3,MID,65,-1.0,-30.0,10.0,0,3.3666666666666663,84.66666666666667,6.0,4
Dejan Kulusevski,1,MID,65,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Dejan Kulusevski,2,MID,65,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Dejan Kulusevski,3,MID,65,0.0,-100.0,0.0,1,0.0,0.0,0.0,0
Dennis Cirkin,1,DEF,40,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,0
Dennis Cirkin,2,DEF,40,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Dennis Cirkin,3,DEF,40,-1.0,-240.0,-30.0,1,0.0,0.0,0.0,0
Dermot Mee,1,GK,40,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,0
Dermot Mee,2,GK,40,0.0,-10.0,10.0,0,0.0,0.0,0.0,0
Dermot Mee,3,GK,40,1.0,60.0,50.0,1,0.0,0.0,0.0,0
Destiny Udogie,1,DEF,45,1.0,50.0,110.0,1,0.0,0.0,0.0,0
Destiny Udogie,2,DEF,45,-1.0,-200.0,0.0,0,0.0,0.0,0.0,0
Destiny Udogie,3,DEF,44,0.0,-100.0,0.0,1,0.0,0.0,0.0,1
Diego Coppola,1,DEF,45,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Diego Coppola,2,DEF,45,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Diego Coppola,3,DEF,44,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,1
Diego Gómez Amarilla,1,MID,50,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Diego Gómez Amarilla,2,MID,50,0.0,80.0,70.0,0,2.6,21.0,0.0,1
Diego Gómez Amarilla,3,MID,50,-1.0,-290.0,-40.0,1,2.0333333333333337,21.666666666666668,0.3333333333333333,2
Diego León Blanco,1,DEF,45,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,0
Diego León Blanco,2,DEF,45,0.0,-10.0,10.0,0,0.0,0.0,0.0,0
Diego León Blanco,3,DEF,44,1.0,60.0,50.0,1,0.0,0.0,0.0,0
Diogo Dalot Teixeira,1,DEF,45,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,1
Diogo Dalot Teixeira,2,DEF,45,0.0,-10.0,10.0,0,2.3,54.0,1.0,1
Diogo Dalot Teixeira,3,DEF,45,1.0,60.0,50.0,1,2.0,48.66666666666667,1.0,4
Djed Spence,1,DEF,45,1.0,50.0,110.0,1,0.0,0.0,0.0,6
Djed Spence,2,DEF,45,-1.0,-200.0,0.0,0,3.8,90.0,6.0,6
Djed Spence,3,DEF,45,0.0,-100.0,0.0,1,3.0333333333333337,90.0,6.0,1
Dominic Calvert-Lewin,2,FWD,55,-2.0,-240.0,-250.0,0,0.0,0.0,0.0,0
Dominic Calvert-Lewin,3,FWD,55,-2.0,-270.0,-120.0,1,0.0,0.0,0.0,1
Dominic Sadi,1,MID,45,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Dominic Sadi,2,MID,45,0.0,-50.0,100.0,1,0.0,0.0,0.0,0
Dominic Sadi,3,MID,45,0.0,0.0,100.0,0,0.0,0.0,0.0,0
Dominic Solanke-Mitchell,1,FWD,75,1.0,50.0,110.0,1,0.0,0.0,0.0,1
Dominic Solanke-Mitchell,2,FWD,74,-1.0,-200.0,0.0,0,0.8,19.0,1.0,1
Dominic Solanke-Mitchell,3,FWD,73,0.0,-100.0,0.0,1,1.3,16.666666666666668,1.0,0
Dominik Szoboszlai,1,MID,65,2.0,90.0,220.0,1,0.0,0.0,0.0,2
Dominik Szoboszlai,2,MID,65,1.0,90.0,250.0,0,6.8,90.0,2.0,2
Dominik Szoboszlai,3,MID,65,1.0,-10.0,30.0,1,5.000000000000001,90.0,2.0,13
Donyell Malen,1,MID,55,-1.0,-210.0,-30.0,1,0.0,0.0,0.0,1
Donyell Malen,2,MID,54,0.0,40.0,220.0,0,2.0,6.0,1.0,1
Donyell Malen,3,MID,53,0.0,-80.0,10.0,1,1.5000000000000002,12.666666666666666,1.0,2
Douglas Luiz Soares de Paulo,2,MID,50,0.0,70.0,60.0,0,0.0,0.0,0.0,0
Douglas Luiz Soares de Paulo,3,MID,50,0.0,50.0,80.0,1,0.0,0.0,0.0,0
Dwight McNeil,1,MID,60,1.0,90.0,40.0,0,0.0,0.0,0.0,0
Dwight McNeil,2,MID,59,0.0,-70.0,-80.0,1,0.0,0.0,0.0,1
Dwight McNeil,3,MID,58,0.0,20.0,10.0,0,0.6,6.333333333333333,0.3333333333333333,0
Dário Luís Essugo,1,MID,45,1.0,-40.0,90.0,1,0.0,0.0,0.0,0
Dário Luís Essugo,2,MID,45,1.0,90.0,200.0,0,0.0,0.0,0.0,0
Dário Luís Essugo,3,MID,45,1.0,30.0,90.0,1,0.0,0.0,0.0,0
Eberechi Eze,1,MID,75,-1.0,-90.0,40.0,0,0.0,0.0,0.0,3
Eberechi Eze,2,MID,75,0.0,-60.0,-70.0,1,3.6,83.0,3.0,0
Eberechi Eze,3,MID,75,-1.0,-30.0,10.0,0,2.4000000000000004,55.33333333333334,2.0,1
Eddie Nketiah,1,FWD,55,-1.0,-90.0,40.0,0,0.0,0.0,0.0,0
Eddie Nketiah,2,FWD,55,0.0,-60.0,-70.0,1,0.0,0.0,0.0,0
Eddie Nketiah,3,FWD,54,0.0,-10.0,80.0,0,0.0,0.0,0.0,0
Ederson Santana de Moraes,1,GK,55,1.0,130.0,300.0,0,0.0,0.0,0.0,0
Ederson Santana de Moraes,2,GK,54,1.0,0.0,200.0,1,0.0,0.0,0.0,0
Ederson Santana de Moraes,3,GK,54,1.0,40.0,290.0,0,0.0,0.0,0.0,0
Edson Álvarez Velázquez,1,MID,50,1.0,50.0,50.0,0,0.0,0.0,0.0,0
Edson Álvarez Velázquez,2,MID,50,-1.0,-200.0,-90.0,1,0.0,0.0,0.0,0
Edson Álvarez Velázquez,3,MID,49,0.0,-80.0,-50.0,0,0.0,0.0,0.0,0
Eiran Cashin,1,DEF,40,0.0,-30.0,80.0,1,0.0,0.0,0.0,0
Eiran Cashin,2,DEF,40,0.0,80.0,70.0,0,0.0,0.0,0.0,0
Eiran Cashin,3,DEF,40,-1.0,-290.0,-40.0,1,0.0,0.0,0.0,0
El Hadji Malick Diouf,1,DEF,45,1.0,50.0,50.0,0,0.0,0.0,0.0,1
El Hadji Malick Diouf,2,DEF,45,-1.0,-200.0,-90.0,1,5.2,90.0,1.0,3
El Hadji Malick Diouf,3,DEF,45,0.0,-80.0,-50.0,0,4.633333333333334,90.0,1.6666666666666667,10
Eli Junior Kroupi,1,FWD,45,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,1
Eli Junior Kroupi,2,FWD,45,0.0,-50.0,100.0,1,0.0,1.0,1.0,1
Eli Junior Kroupi,3,FWD,45,0.0,0.0,100.0,0,0.06666666666666667,1.3333333333333335,1.0,1
Eliezer Mayenda Dossou,1,FWD,55,-1.0,-50.0,-50.0,1,0.0,0.0,0.0,8
Eliezer Mayenda Dossou,2,FWD,55,0.0,0.0,0.0,0,7.1,75.0,8.0,2
Eliezer Mayenda Dossou,3,FWD,55,-1.0,-240.0,-30.0,1,5.766666666666667,70.66666666666667,6.000000000000001,2
Elijah Campbell,2,DEF,40,0.0,-70.0,-80.0,1,0.0,0.0,0.0,0
Elijah Campbell,3,DEF,40,0.0,20.0,10.0,0,0.0,0.0,0.0,0
Ellery Balcombe,1,GK,40,0.0,-100.0,140.0,0,0.0,0.0,0.0,0
Ellery Balcombe,2,GK,40,0.0,-220.0,-40.0,1,0.0,0.0,0.0,0
Ellery Balcombe,3,GK,40,1.0,30.0,240.0,0,0.0,0.0,0.0,0
Elliot Anderson,1,MID,55,0.0,-140.0,100.0,1,0.0,0.0,0.0,6
Elliot Anderson,2,MID,55,0.0,70.0,60.0,0,7.0,90.0,6.0,2
Elliot Anderson,3,MID,55,0.0,50.0,80.0,1,5.966666666666667,90.0,4.666666666666667,2
Elyh Harrison,1,GK,40,-1.0,-190.0,-250.0,1,0.0,0.0,0.0,0
Elyh Harrison,2,GK,40,0.0,-10.0,10.0,0,0.0,0.0,0.0,0
Elyh Harrison,3,GK,40,1.0,60.0,50.0,1,0.0,0.0,0.0,0
Emerson Palmieri dos Santos,1,DEF,45,1.0,50.0,50.0,0,0.0,0.0,0.0,0
Emerson Palmieri dos Santos,2,DEF,45,-1.0,-200.0,-90.0,1,0.0,0.0,0.0,0
Emerson Palmieri dos Santos,3,DEF,44,0.0,-80.0,-50.0,0,0.0,0.0,0.0,0
Emil Krafth,1,DEF,45,1.0,30.0,210.0,0,0.0,0.0,0.0,0
Emil Krafth,2,DEF,45,-1.0,-250.0,-90.0,1,0.0,0.0,0.0,0
Emil Krafth,3,DEF,45,2.0,120.0,270.0,0,0.0,0.0,0.0,0
Emile Smith Rowe,1,MID,60,0.0,-80.0,30.0,0,0.0,0.0,0.0,1
Emile Smith Rowe,2,MID,59,0.0,-10.0,10.0,1,0.4,13.0,1.0,6
Emile Smith Rowe,3,MID,59,-1.0,-90.0,-30.0,0,2.7333333333333334,15.0,2.666666666666667,1
Emiliano Buendía Stati,1,MID,55,-1.0,-210.0,-30.0,1,0.0,0.0,0.0,0
Emiliano Buendía Stati,2,MID,54,0.0,40.0,220.0,0,0.0,0.0,0.0,1
Emiliano Buendía Stati,3,MID,54,0.0,-80.0,10.0,1,0.7333333333333334,19.333333333333332,0.3333333333333333,1
Emiliano Martínez Romero,1,GK,50,-1.0,-210.0,-30.0,1,0.0,0.0,0.0,0
Emiliano Martínez Romero,2,GK,50,0.0,40.0,220.0,0,0.0,0.0,0.0,2
Emiliano Martínez Romero,3,GK,50,0.0,-80.0,10.0,1,0.43333333333333335,30.0,0.6666666666666666,0
Emmanuel Agbadou,1,DEF,45,-1.0,-300.0,-130.0,1,0.0,0.0,0.0,0
Emmanuel Agbadou,2,DEF,45,0.0,-100.0,50.0,0,1.3,90.0,0.0,4
Emmanuel Agbadou,3,DEF,45,0.0,-10.0,-20.0,1,2.2333333333333334,90.0,1.3333333333333333,1
Endo Wataru,1,MID,50,2.0,90.0,220.0,1,0.0,0.0,0.0,4
Endo Wataru,2,MID,50,1.0,90.0,250.0,0,3.5,30.0,4.0,1
Endo Wataru,3,MID,50,1.0,-10.0,30.0,1,2.3333333333333335,20.333333333333336,3.0000000000000004,0
Enes Ünal,1,FWD,55,-2.0,-220.0,-90.0,0,0.0,0.0,0.0,0
Enes Ünal,2,FWD,55,0.0,-50.0,100.0,1,0.0,0.0,0.0,0
Enes Ünal,3,FWD,55,0.0,0.0,100.0,0,0.0,0.0,0.0,0
Enock Agyei,1,MID,50,-1.0,-110.0,-50.0,0,0.0,0.0,0.0,0
Enock Agyei,2,MID,50,0.0,0.0,0.0,1,0.0,0.0,0.0,0
Enock Agyei,3,MID,49,-1.0,-50.0,-60.0,0,0.0,0.0,0.0,0
Enso González Medina,1,MID,45,-1.0,-300.0,-130.0,1,0.0,0.0,0.0,0
Enso González Medina,2,MID,45,0.0,-100.0,50.0,0,0.0,0.0,0.0,0
